Country,Product Group,"Average Tariff Rate, Final Bound","Duty Free %, Final Bound","Maximum Tariff Rate, Final Bound","Average Tariff Rate, MFN","Duty Free %, MFN","Maximum Tariff Rate, MFN",Import Share %,Duty-Free Import Share %
Cuba                                    ,Chemicals,5.3,21.9,40,4.5,4.9,5,,
Cuba                                    ,"Wood, paper, furniture",3.3,43.5,29,4,14.2,5,,
Cuba                                    ,Textiles,18.9,17.0,36,4.9,2.0,5,,
Cuba                                    ,Clothing,39.2,0,62,5,0,5,,
Cuba                                    ,"Rubber, leather and footwear",8,0,12,4.9,2.2,5,,
Cuba                                    ,"Mechanical, office and computing machinery",8.8,0.3,14,4.9,0.8,5,,
Cuba                                    ,Electrical machinery and electronic equipment,10.7,0,15,5,0,5,,
Cuba                                    ,Transport equipment,7.5,0,15,4.2,11.2,5,,
Cuba                                    ,Other Manufactures,15.5,0,36,4.7,5.8,5,,
Cabo Verde                              ,Live animals and meat,23.9,0,35,16.8,7.8,30,5.5,0.3
Cabo Verde                              ,Dairy products,17.6,0,35,11.8,0,30,4.2,0
Cabo Verde                              ,Fruits and vegetables,21.3,0,35,11.5,0.6,30,4.9,0.9
Cabo Verde                              ,"Coffee, tea, cocoa and spices",31.8,0,55,27.4,0,50,0.7,0
Cabo Verde                              ,Cereals and food preparations,16.7,0,45,11.2,8.1,40,9.4,15.8
Cabo Verde                              ,"Oilseeds, fats and oils",11.9,0,25,4.3,22.1,20,2.8,0.5
Cabo Verde                              ,Sugars and confectionery,15,0,35,9.1,0,30,1.5,0
Cabo Verde                              ,Beverages and tobacco,36.2,0,55,34.5,4.0,55,3.3,1.4
Cabo Verde                              ,"Cotton, silk and wool",5,0,5,5,0,5,0.0,0
Cabo Verde                              ,Other agricultural products,11.4,0,50,8,24.7,50,1.2,67.4
Cabo Verde                              ,Fish and fish products,25.8,0,45,23.5,0,40,1.0,0
Cabo Verde                              ,Minerals and metals,14,1.9,55,8.7,2.5,50,14.3,3.3
Cabo Verde                              ,Petroleum,10.1,0,25,5.5,3.7,20,17.5,7.3
Cabo Verde                              ,Chemicals,8.3,0.9,55,6.1,18.7,50,9.4,29.1
Cabo Verde                              ,"Wood, paper, furniture",16.8,5.1,55,12.7,5.3,50,3.8,2.5
Cabo Verde                              ,Textiles,19.8,0,55,15.5,0,50,0.8,0
Cabo Verde                              ,Clothing,36.7,0,45,34,0,40,0.4,0
Cabo Verde                              ,"Rubber, leather and footwear",21,5.2,50,18.4,5.2,50,0.9,4.0
Cabo Verde                              ,"Mechanical, office and computing machinery",6.4,12.4,35,4.8,23.6,30,5.0,36.3
Cabo Verde                              ,Electrical machinery and electronic equipment,13.5,29.2,35,9.9,29.4,30,5.5,27.0
Cabo Verde                              ,Transport equipment,16,6.1,55,12,11.4,50,5.1,3.1
Cabo Verde                              ,Other Manufactures,19.7,11.5,55,13.5,23.5,50,2.7,50.9
Djibouti                                ,Live animals and meat,40,0,40,,,,,
Djibouti                                ,Dairy products,44.5,0,70,,,,,
Djibouti                                ,Fruits and vegetables,40,0,40,,,,,
Djibouti                                ,"Coffee, tea, cocoa and spices",40,0,40,,,,,
Djibouti                                ,Cereals and food preparations,39.5,0,40,,,,,
Djibouti                                ,"Oilseeds, fats and oils",41.5,0,250,,,,,
Djibouti                                ,Sugars and confectionery,40,0,40,,,,,
Djibouti                                ,Beverages and tobacco,177.4,0,450,,,,,
Djibouti                                ,"Cotton, silk and wool",40,0,40,,,,,
Djibouti                                ,Other agricultural products,40,0,40,,,,,
Djibouti                                ,Fish and fish products,40,0,40,,,,,
Djibouti                                ,Minerals and metals,40.1,0,150,,,,,
Djibouti                                ,Petroleum,70,24.5,230,,,,,
Djibouti                                ,Chemicals,40.1,0,200,,,,,
Djibouti                                ,"Wood, paper, furniture",40,0,40,,,,,
Djibouti                                ,Textiles,40,0,40,,,,,
Djibouti                                ,Clothing,40,0,40,,,,,
Djibouti                                ,"Rubber, leather and footwear",40,0,40,,,,,
Djibouti                                ,"Mechanical, office and computing machinery",39.6,0,40,,,,,
Djibouti                                ,Electrical machinery and electronic equipment,39.2,0,40,,,,,
Djibouti                                ,Transport equipment,39.2,0,40,,,,,
Djibouti                                ,Other Manufactures,40,0,40,,,,,
Dominica                                ,Live animals and meat,116.5,0,150,20.8,9.4,40,5.6,0.5
Dominica                                ,Dairy products,100,0,100,6.1,34.0,20,2.3,59.8
Dominica                                ,Fruits and vegetables,112.5,0,150,31.9,6.7,150,2.6,8.4
Dominica                                ,"Coffee, tea, cocoa and spices",115.7,0,150,25.8,7.4,135,0.8,0.5
Dominica                                ,Cereals and food preparations,110.6,0,150,11,22.9,135,5.5,4.5
Dominica                                ,"Oilseeds, fats and oils",122.4,0,150,20.7,41.9,40,1.7,0.3
Dominica                                ,Sugars and confectionery,114.7,0,150,24.1,0,135,0.2,0
Dominica                                ,Beverages and tobacco,125.5,0,150,64.3,6.0,150,4.2,1.1
Dominica                                ,"Cotton, silk and wool",100,0,100,0,100.0,0,0,0
Dominica                                ,Other agricultural products,105.2,0,150,8.9,52.2,90,1.6,46.5
Dominica                                ,Fish and fish products,100,0,100,31.6,11.2,40,0.9,12.5
Dominica                                ,Minerals and metals,50,0,50,6.5,19.0,35,14.5,9.7
Dominica                                ,Petroleum,50,0,50,3.5,77.2,20,4.5,20.1
Dominica                                ,Chemicals,50,0,100,6.1,22.3,165,13.5,25.9
Dominica                                ,"Wood, paper, furniture",50,0,50,9.7,20.0,40,7.7,9.4
Dominica                                ,Textiles,50,0,50,5.8,27.1,20,2.0,3.9
Dominica                                ,Clothing,50,0,50,19.5,0.5,20,1.0,0.1
Dominica                                ,"Rubber, leather and footwear",50,0,50,8.3,27.6,20,2.5,7.7
Dominica                                ,"Mechanical, office and computing machinery",50,0,50,2,70.8,30,9.9,65.2
Dominica                                ,Electrical machinery and electronic equipment,50,0,50,10.1,7.5,60,9.9,3.3
Dominica                                ,Transport equipment,50,0,50,9.7,18.9,40,4.4,1.0
Dominica                                ,Other Manufactures,50,0,50,12.1,11.3,50,4.8,9.3
Dominican Republic                      ,Live animals and meat,39.4,0,99,21.9,11.8,99,2.0,1.3
Dominican Republic                      ,Dairy products,40.8,0,56,21.2,12.0,56,1.4,0.7
Dominican Republic                      ,Fruits and vegetables,41.5,0,99,21.4,1.1,99,1.3,0.8
Dominican Republic                      ,"Coffee, tea, cocoa and spices",39.5,0,40,13.7,26.9,20,0.4,17.5
Dominican Republic                      ,Cereals and food preparations,41.4,0,99,13.7,37.0,99,4.1,70.9
Dominican Republic                      ,"Oilseeds, fats and oils",38.3,0,40,7.5,63.0,40,1.7,85.4
Dominican Republic                      ,Sugars and confectionery,46.3,0,85,32.9,17.6,85,0.2,0.8
Dominican Republic                      ,Beverages and tobacco,39.1,0,40,18.1,0,20,3.6,0
Dominican Republic                      ,"Cotton, silk and wool",39,0,40,0,100.0,0,0.0,100.0
Dominican Republic                      ,Other agricultural products,35.7,0,40,3.2,75.6,20,1.4,93.7
Dominican Republic                      ,Fish and fish products,39.9,0,40,18.2,8.5,20,0.9,48.4
Dominican Republic                      ,Minerals and metals,36.3,0.1,40,5.9,56.6,20,19.2,58.2
Dominican Republic                      ,Petroleum,40,0,40,9.4,28.4,14,14.6,96.9
Dominican Republic                      ,Chemicals,21.5,0.1,40,2.4,79.9,20,15.2,63.7
Dominican Republic                      ,"Wood, paper, furniture",36.9,0,40,6.7,59.9,20,4.2,63.0
Dominican Republic                      ,Textiles,38.8,0,40,4,74.9,20,3.6,76.6
Dominican Republic                      ,Clothing,40,0,40,19.9,0,20,0.8,0
Dominican Republic                      ,"Rubber, leather and footwear",38.2,0,40,8.9,42.2,20,1.6,32.3
Dominican Republic                      ,"Mechanical, office and computing machinery",32.3,8.6,40,0.7,90.9,20,7.1,89.5
Dominican Republic                      ,Electrical machinery and electronic equipment,28.2,20.1,40,7.4,53.3,20,7.6,46.0
Dominican Republic                      ,Transport equipment,39.9,0,40,8.1,29.1,20,7.0,2.6
Dominican Republic                      ,Other Manufactures,36.4,4.7,40,11.8,32.5,20,2.3,45.7
Algeria                                 ,Live animals and meat,,,,27.9,0,30,,
Algeria                                 ,Dairy products,,,,22.1,0,30,,
Algeria                                 ,Fruits and vegetables,,,,28.8,0,60,,
Algeria                                 ,"Coffee, tea, cocoa and spices",,,,28.1,0,30,,
Algeria                                 ,Cereals and food preparations,,,,22.9,2.6,60,,
Algeria                                 ,"Oilseeds, fats and oils",,,,19.3,1.2,30,,
Algeria                                 ,Sugars and confectionery,,,,23.8,0,30,,
Algeria                                 ,Beverages and tobacco,,,,28,0,60,,
Algeria                                 ,"Cotton, silk and wool",,,,5,0,5,,
Algeria                                 ,Other agricultural products,,,,17.2,0,30,,
Algeria                                 ,Fish and fish products,,,,29.7,0,30,,
Algeria                                 ,Minerals and metals,,,,16.6,1.0,30,,
Algeria                                 ,Petroleum,,,,18.7,32.5,30,,
Algeria                                 ,Chemicals,,,,14.5,0.3,60,,
Algeria                                 ,"Wood, paper, furniture",,,,19.5,0,30,,
Algeria                                 ,Textiles,,,,24,0.2,30,,
Algeria                                 ,Clothing,,,,30,0,30,,
Algeria                                 ,"Rubber, leather and footwear",,,,19.1,0.6,30,,
Algeria                                 ,"Mechanical, office and computing machinery",,,,8.6,0.1,60,,
Algeria                                 ,Electrical machinery and electronic equipment,,,,20.1,0.2,60,,
Algeria                                 ,Transport equipment,,,,12.1,23.6,30,,
Algeria                                 ,Other Manufactures,,,,20.2,9.3,30,,
Ecuador                                 ,Live animals and meat,29,0,86,27.3,9.2,86,0.2,48.9
Ecuador                                 ,Dairy products,37.1,0,72,28.4,12.0,54,0.0,6.3
Ecuador                                 ,Fruits and vegetables,24.9,0,30,22.7,6.1,30,0.9,0.4
Ecuador                                 ,"Coffee, tea, cocoa and spices",23.4,0,30,16.8,15.7,30,0.4,3.8
Ecuador                                 ,Cereals and food preparations,27.8,0,68,16.9,29.8,68,3.8,51.8
Ecuador                                 ,"Oilseeds, fats and oils",27.7,0,36,12.4,33.6,32,1.2,18.2
Ecuador                                 ,Sugars and confectionery,34.3,0,45,11.1,39.4,30,0.4,21.8
Ecuador                                 ,Beverages and tobacco,26.2,0,30,21.1,1.0,30,0.5,1.5
Ecuador                                 ,"Cotton, silk and wool",18.6,0,20,1.6,76.0,10,0.1,99.9
Ecuador                                 ,Other agricultural products,21.2,0,45,6.2,64.5,45,5.1,91.5
Ecuador                                 ,Fish and fish products,29.2,0,36,25.6,11.5,30,1.0,68.4
Ecuador                                 ,Minerals and metals,20.7,0,30,6.9,63.1,30,18.9,83.7
Ecuador                                 ,Petroleum,12.9,0,25,3.9,60.3,10,14.1,97.3
Ecuador                                 ,Chemicals,11.1,0,20,2,84.8,20,18.5,71.2
Ecuador                                 ,"Wood, paper, furniture",23.3,0,30,13.1,23.8,30,2.3,58.6
Ecuador                                 ,Textiles,27.9,0,30,17.7,12.4,30,2.1,23.6
Ecuador                                 ,Clothing,30,0,30,25.5,0,30,0.9,0
Ecuador                                 ,"Rubber, leather and footwear",24.3,0,30,12.3,33.8,30,2.0,40.0
Ecuador                                 ,"Mechanical, office and computing machinery",19.5,0,25,2.6,72.7,25,8.8,82.8
Ecuador                                 ,Electrical machinery and electronic equipment,23.2,0,30,10.3,44.9,30,6.9,42.7
Ecuador                                 ,Transport equipment,23.2,0,40,9.3,40.4,40,8.8,16.9
Ecuador                                 ,Other Manufactures,23.9,0,30,14.1,34.7,30,3.1,45.5
Egypt                                   ,Live animals and meat,42.2,0,80,,,,,
Egypt                                   ,Dairy products,25.2,0,60,,,,,
Egypt                                   ,Fruits and vegetables,40.2,0,60,,,,,
Egypt                                   ,"Coffee, tea, cocoa and spices",26.8,0,60,,,,,
Egypt                                   ,Cereals and food preparations,38.6,0,3000,,,,,
Egypt                                   ,"Oilseeds, fats and oils",24.9,0,80,,,,,
Egypt                                   ,Sugars and confectionery,36.5,0,60,,,,,
Egypt                                   ,Beverages and tobacco,943.5,0,3000,,,,,
Egypt                                   ,"Cotton, silk and wool",5,0,5,,,,,
Egypt                                   ,Other agricultural products,24.6,0,80,,,,,
Egypt                                   ,Fish and fish products,27.9,0,60,,,,,
Egypt                                   ,Minerals and metals,31,0.1,60,,,,,
Egypt                                   ,Petroleum,20,0,20,,,,,
Egypt                                   ,Chemicals,18.9,0.1,80,,,,,
Egypt                                   ,"Wood, paper, furniture",36.6,0,60,,,,,
Egypt                                   ,Textiles,27.4,0,60,,,,,
Egypt                                   ,Clothing,40,0,40,,,,,
Egypt                                   ,"Rubber, leather and footwear",41.8,0,60,,,,,
Egypt                                   ,"Mechanical, office and computing machinery",16.1,5.7,80,,,,,
Egypt                                   ,Electrical machinery and electronic equipment,30,18.6,60,,,,,
Egypt                                   ,Transport equipment,37.9,0,160,,,,,
Egypt                                   ,Other Manufactures,30.7,4.0,70,,,,,
Fiji                                    ,Live animals and meat,40,0,40,12.2,10.0,32,2.0,4.9
Fiji                                    ,Dairy products,40.2,0,46,6.3,2.7,32,2.1,9.8
Fiji                                    ,Fruits and vegetables,40,0,40,4.5,43.2,32,2.7,60.5
Fiji                                    ,"Coffee, tea, cocoa and spices",40,0,40,5.6,7.4,15,0.8,19.2
Fiji                                    ,Cereals and food preparations,40.9,0,140,7.7,7.9,140,5.0,52.9
Fiji                                    ,"Oilseeds, fats and oils",40,0,40,8,21.9,32,2.5,6.7
Fiji                                    ,Sugars and confectionery,40,0,40,11.4,0,32,0.6,0
Fiji                                    ,Beverages and tobacco,90.4,0,> 1000,218.6,0,> 1000,1.5,0
Fiji                                    ,"Cotton, silk and wool",40,0,40,0,100.0,0,0.0,100.0
Fiji                                    ,Other agricultural products,40,0,40,5.8,8.2,32,1.4,4.0
Fiji                                    ,Fish and fish products,40,0,40,14.2,0,32,1.1,0
Fiji                                    ,Minerals and metals,40,0,40,6.1,1.2,58,10.0,6.6
Fiji                                    ,Petroleum,-,-,-,6.8,0,27,23.2,0
Fiji                                    ,Chemicals,40,0,40,8.5,8.1,> 1000,11.6,26.7
Fiji                                    ,"Wood, paper, furniture",-,-,-,8.7,2.6,32,3.8,2.6
Fiji                                    ,Textiles,40,0,40,2.2,60.8,32,2.8,52.3
Fiji                                    ,Clothing,40,0,40,8.9,16.0,15,1.8,12.3
Fiji                                    ,"Rubber, leather and footwear",-,-,-,7.2,3.9,39,2.0,5.1
Fiji                                    ,"Mechanical, office and computing machinery",40,0,40,0,99.1,5,7.7,98.7
Fiji                                    ,Electrical machinery and electronic equipment,40,0,40,4.3,22.1,32,7.2,22.3
Fiji                                    ,Transport equipment,-,-,-,8.6,65.2,> 1000,6.8,36.5
Fiji                                    ,Other Manufactures,40,0,40,5.1,36.1,32,3.6,64.7
"Micronesia, Federated States of         ",Live animals and meat,,,,3.3,0,4,,
"Micronesia, Federated States of         ",Dairy products,,,,4,0,25,,
"Micronesia, Federated States of         ",Fruits and vegetables,,,,3,0,4,,
"Micronesia, Federated States of         ","Coffee, tea, cocoa and spices",,,,9,0,25,,
"Micronesia, Federated States of         ",Cereals and food preparations,,,,3.3,0,25,,
"Micronesia, Federated States of         ","Oilseeds, fats and oils",,,,3.1,0,4,,
"Micronesia, Federated States of         ",Sugars and confectionery,,,,3,0,3,,
"Micronesia, Federated States of         ",Beverages and tobacco,,,,37.2,0,288,,
"Micronesia, Federated States of         ","Cotton, silk and wool",,,,4,0,4,,
"Micronesia, Federated States of         ",Other agricultural products,,,,3.9,0,4,,
"Micronesia, Federated States of         ",Fish and fish products,,,,18.1,0,25,,
"Micronesia, Federated States of         ",Minerals and metals,,,,4,0,4,,
"Micronesia, Federated States of         ",Petroleum,,,,3.4,0,4,,
"Micronesia, Federated States of         ",Chemicals,,,,4.4,0,25,,
"Micronesia, Federated States of         ","Wood, paper, furniture",,,,4,0,4,,
"Micronesia, Federated States of         ",Textiles,,,,4,0,25,,
"Micronesia, Federated States of         ",Clothing,,,,4,0,4,,
"Micronesia, Federated States of         ","Rubber, leather and footwear",,,,4,0,4,,
"Micronesia, Federated States of         ","Mechanical, office and computing machinery",,,,4,0,4,,
"Micronesia, Federated States of         ",Electrical machinery and electronic equipment,,,,4,0,4,,
"Micronesia, Federated States of         ",Transport equipment,,,,4,0,4,,
"Micronesia, Federated States of         ",Other Manufactures,,,,4,0,4,,
Gabon                                   ,Live animals and meat,60,0,60,19.2,0,30,5.4,0
Gabon                                   ,Dairy products,60,0,60,23,0,30,1.3,0
Gabon                                   ,Fruits and vegetables,58.5,0,60,29.8,0,30,0.7,0
Gabon                                   ,"Coffee, tea, cocoa and spices",58.1,0,60,30,0,30,0.2,0
Gabon                                   ,Cereals and food preparations,57.7,0,60,20.6,0,30,5.5,0
Gabon                                   ,"Oilseeds, fats and oils",58.2,0,60,22.9,0,30,0.4,0
Gabon                                   ,Sugars and confectionery,56.5,0,60,20.6,0,30,0.3,0
Gabon                                   ,Beverages and tobacco,58.6,0,60,27.6,0,30,1.4,0
Gabon                                   ,"Cotton, silk and wool",60,0,60,10,0,10,0.0,0
Gabon                                   ,Other agricultural products,58.1,0,60,13.6,0,30,0.3,0
Gabon                                   ,Fish and fish products,25.6,0,60,25.6,0,30,1.0,0
Gabon                                   ,Minerals and metals,17.6,0,60,17.3,0,30,9.4,0
Gabon                                   ,Petroleum,10,0,10,10,0,10,2.6,0
Gabon                                   ,Chemicals,11.8,0,60,11.1,0,30,8.3,0
Gabon                                   ,"Wood, paper, furniture",20.8,0,60,21.8,3.3,30,1.4,9.2
Gabon                                   ,Textiles,19.7,0,30,19.6,0.2,30,0.7,0.2
Gabon                                   ,Clothing,30,0,30,30,0,30,0.3,0
Gabon                                   ,"Rubber, leather and footwear",20.7,0,30,20.8,0.6,30,1.4,0.1
Gabon                                   ,"Mechanical, office and computing machinery",11.6,0,30,11.4,0.4,30,10.8,0.3
Gabon                                   ,Electrical machinery and electronic equipment,18.5,0,30,18.1,0,30,5.8,0
Gabon                                   ,Transport equipment,16.6,0,30,15.1,14.8,30,39.9,1.8
Gabon                                   ,Other Manufactures,24.6,0,60,22.1,0,30,2.9,0
United Kingdom                          ,Live animals and meat,15.7,28.9,243,15.7,28.7,243,1.3,8.5
United Kingdom                          ,Dairy products,30.5,2.7,144,27.3,9.5,142,0.5,0.8
United Kingdom                          ,Fruits and vegetables,12.1,13.2,144,8.4,23.2,61,1.8,8.5
United Kingdom                          ,"Coffee, tea, cocoa and spices",3.5,53.0,14,3.1,57.4,14,0.7,28.0
United Kingdom                          ,Cereals and food preparations,13.4,4.2,39,10.5,17.5,39,1.4,8.9
United Kingdom                          ,"Oilseeds, fats and oils",5.9,42.9,86,6.6,43.8,63,0.6,36.9
United Kingdom                          ,Sugars and confectionery,20.8,0,74,20.2,11.8,74,0.2,9.8
United Kingdom                          ,Beverages and tobacco,18.9,18.4,125,16.4,23.5,125,1.5,16.4
United Kingdom                          ,"Cotton, silk and wool",0,100.0,0,0,100.0,0,0.0,100.0
United Kingdom                          ,Other agricultural products,5.1,52.5,302,3,70.5,53,1.0,62.7
United Kingdom                          ,Fish and fish products,12,5.4,26,10.8,8.9,25,0.6,7.8
United Kingdom                          ,Minerals and metals,1.8,51.6,12,0.7,84.7,12,22.0,90.1
United Kingdom                          ,Petroleum,3.2,16.7,5,1.6,33.3,4,8.9,93.3
United Kingdom                          ,Chemicals,4.6,21.5,17,3.1,40.0,7,12.1,51.2
United Kingdom                          ,"Wood, paper, furniture",1,78.9,10,0.7,85.2,10,4.1,84.7
United Kingdom                          ,Textiles,6.6,2.0,12,5.1,30.8,12,1.4,11.2
United Kingdom                          ,Clothing,11.5,0,12,11.4,0,12,3.0,0
United Kingdom                          ,"Rubber, leather and footwear",4.1,26.9,17,3.1,39.0,16,1.8,6.2
United Kingdom                          ,"Mechanical, office and computing machinery",1.6,31.1,14,0.6,80.4,8,11.1,80.6
United Kingdom                          ,Electrical machinery and electronic equipment,1.9,40.7,14,0.8,71.1,14,9.5,66.3
United Kingdom                          ,Transport equipment,4.4,17.1,22,3.1,55.9,18,10.6,16.0
United Kingdom                          ,Other Manufactures,2.1,34.8,12,0.9,61.0,6,5.7,69.5
Grenada                                 ,Live animals and meat,97.8,0,100,24,11.3,40,4.5,12.0
Grenada                                 ,Dairy products,100,0,100,6.4,28.0,20,2.3,21.4
Grenada                                 ,Fruits and vegetables,108.8,0,200,26.2,2.9,40,2.5,13.3
Grenada                                 ,"Coffee, tea, cocoa and spices",129.6,0,200,20.9,0,40,0.5,0
Grenada                                 ,Cereals and food preparations,92.6,0.6,100,10.9,20.6,40,7.5,7.4
Grenada                                 ,"Oilseeds, fats and oils",98.6,1.5,200,19.7,10.3,40,0.9,0.0
Grenada                                 ,Sugars and confectionery,100,0,100,20.8,0,40,0.9,0
Grenada                                 ,Beverages and tobacco,91.3,0,100,27.1,0,40,3.4,0
Grenada                                 ,"Cotton, silk and wool",100,0,100,5,0,5,0.0,0
Grenada                                 ,Other agricultural products,94.8,7.5,200,8.7,28.4,40,0.9,63.2
Grenada                                 ,Fish and fish products,50.4,0,100,30.9,10.8,40,1.1,31.1
Grenada                                 ,Minerals and metals,50,0,50,7.7,2.5,35,13.2,9.5
Grenada                                 ,Petroleum,50,0,50,8,14.4,25,18.8,33.9
Grenada                                 ,Chemicals,50,0,100,6.4,6.1,40,10.0,5.5
Grenada                                 ,"Wood, paper, furniture",50,0,50,9.6,5.3,20,7.4,3.9
Grenada                                 ,Textiles,50,0,50,7.1,0.5,20,1.4,0.5
Grenada                                 ,Clothing,50,0,50,19.8,0,20,1.7,0
Grenada                                 ,"Rubber, leather and footwear",50,0,50,9.7,2.2,25,1.9,1.8
Grenada                                 ,"Mechanical, office and computing machinery",50,0,50,5.1,6.2,35,6.2,2.0
Grenada                                 ,Electrical machinery and electronic equipment,50,0,50,11.4,1.1,35,6.5,0.6
Grenada                                 ,Transport equipment,50,0,50,9.6,8.4,30,4.6,1.3
Grenada                                 ,Other Manufactures,50,0,50,13.2,4.0,35,3.7,3.0
Georgia                                 ,Live animals and meat,11.9,0.9,12,8.5,25.7,12,1.9,13.8
Georgia                                 ,Dairy products,11.5,0,25,4.1,54.4,12,1.2,63.3
Georgia                                 ,Fruits and vegetables,13.5,0,30,10.7,10.7,12,1.8,5.9
Georgia                                 ,"Coffee, tea, cocoa and spices",12.1,0,20,2.1,79.6,12,1.4,28.8
Georgia                                 ,Cereals and food preparations,14.1,1.3,31,6,51.9,31,4.2,37.1
Georgia                                 ,"Oilseeds, fats and oils",4.2,64.7,12,0.1,99.3,12,1.4,67.3
Georgia                                 ,Sugars and confectionery,11.2,0,12,10.6,11.8,12,1.2,41.4
Georgia                                 ,Beverages and tobacco,25.1,0,311,17,2.9,311,1.7,0.0
Georgia                                 ,"Cotton, silk and wool",9.6,4.0,12,0,100.0,0,0.0,100.0
Georgia                                 ,Other agricultural products,10.1,8.2,15,1.2,90.4,12,1.3,89.0
Georgia                                 ,Fish and fish products,1,91.7,12,0,100.0,0,0.6,100.0
Georgia                                 ,Minerals and metals,7,32.8,20,2.3,80.7,12,19.4,84.4
Georgia                                 ,Petroleum,12,0,12,0,100.0,0,13.0,100.0
Georgia                                 ,Chemicals,6.2,9.2,12,0.6,91.1,12,14.4,70.1
Georgia                                 ,"Wood, paper, furniture",4.9,57.4,12,1.7,85.5,12,5.1,91.6
Georgia                                 ,Textiles,8.2,0.1,12,0,100.0,0,2.5,100.0
Georgia                                 ,Clothing,12.6,0,15,0,100.0,0,2.6,100.0
Georgia                                 ,"Rubber, leather and footwear",10.4,11.0,12,0,100.0,0,2.5,100.0
Georgia                                 ,"Mechanical, office and computing machinery",3.1,38.6,5,0,100.0,0,8.5,100.0
Georgia                                 ,Electrical machinery and electronic equipment,2.7,50.5,12,0.3,96.4,12,9.0,97.9
Georgia                                 ,Transport equipment,9.6,18.1,12,0,95.1,0,2.1,99.5
Georgia                                 ,Other Manufactures,7.1,33.0,12,0,100.0,0,4.3,100.0
Ghana                                   ,Live animals and meat,96.8,0,99,24.6,0,35,2.1,0
Ghana                                   ,Dairy products,77.8,0,99,16.1,0,35,0.7,0
Ghana                                   ,Fruits and vegetables,99,0,99,19.8,0,35,0.5,0
Ghana                                   ,"Coffee, tea, cocoa and spices",95.4,0,99,19.2,0,35,0.1,0
Ghana                                   ,Cereals and food preparations,95.2,0,99,12.1,0,35,5.2,0
Ghana                                   ,"Oilseeds, fats and oils",99,0,99,12.3,0,35,2.2,0
Ghana                                   ,Sugars and confectionery,99,0,99,12.6,0,35,1.0,0
Ghana                                   ,Beverages and tobacco,99,0,99,17.5,0,35,1.3,0
Ghana                                   ,"Cotton, silk and wool",99,0,99,5,0,5,0.0,0
Ghana                                   ,Other agricultural products,95.4,0,99,8.6,0,35,1.1,0
Ghana                                   ,Fish and fish products,99,0,99,16,0,20,1.7,0
Ghana                                   ,Minerals and metals,40,0,40,11.9,0.2,20,14.2,6.6
Ghana                                   ,Petroleum,-,-,-,7.7,19.0,10,23.2,0.0
Ghana                                   ,Chemicals,40.9,0,99,7,6.5,35,15.5,23.2
Ghana                                   ,"Wood, paper, furniture",40.7,0,50,12,3.8,20,2.5,14.3
Ghana                                   ,Textiles,45,0,45,16.2,0.2,35,2.1,1.4
Ghana                                   ,Clothing,-,-,-,20,0,20,0.2,0
Ghana                                   ,"Rubber, leather and footwear",-,-,-,12.3,1.3,20,1.5,2.3
Ghana                                   ,"Mechanical, office and computing machinery",30,0,30,6.2,0,20,9.8,0
Ghana                                   ,Electrical machinery and electronic equipment,-,-,-,12,0.6,20,4.1,1.2
Ghana                                   ,Transport equipment,31.4,0,35,8.4,1.8,20,9.0,0.1
Ghana                                   ,Other Manufactures,50,0,50,14.3,2.1,20,2.0,9.1
The Gambia                              ,Live animals and meat,110,0,110,24.6,0,35,1.8,0
The Gambia                              ,Dairy products,101,0,110,16.1,0,35,1.1,0
The Gambia                              ,Fruits and vegetables,110,0,110,19.8,0,35,0.7,0
The Gambia                              ,"Coffee, tea, cocoa and spices",110,0,110,19.2,0,35,0.3,0
The Gambia                              ,Cereals and food preparations,110,0,110,12.1,0,35,9.3,0
The Gambia                              ,"Oilseeds, fats and oils",110,0,110,12.3,0,35,2.3,0
The Gambia                              ,Sugars and confectionery,110,0,110,12.6,0,35,2.2,0
The Gambia                              ,Beverages and tobacco,110,0,110,17.5,0,35,0.9,0
The Gambia                              ,"Cotton, silk and wool",65.6,0,110,5,0,5,0.0,0
The Gambia                              ,Other agricultural products,94.7,0,110,8.6,0,35,0.5,0
The Gambia                              ,Fish and fish products,110,0,110,16,0,20,0.1,0
The Gambia                              ,Minerals and metals,42.3,0,50,11.9,0.2,20,10.2,0.2
The Gambia                              ,Petroleum,-,-,-,7.7,19.0,10,40.5,0.0
The Gambia                              ,Chemicals,60,0,110,7,6.5,35,7.2,13.6
The Gambia                              ,"Wood, paper, furniture",-,-,-,12,3.8,20,2.4,10.5
The Gambia                              ,Textiles,-,-,-,16.2,0.2,35,1.4,0.1
The Gambia                              ,Clothing,-,-,-,20,0,20,0.1,0
The Gambia                              ,"Rubber, leather and footwear",-,-,-,12.3,1.3,20,0.6,1.0
The Gambia                              ,"Mechanical, office and computing machinery",-,-,-,6.2,0,20,2.4,0
The Gambia                              ,Electrical machinery and electronic equipment,-,-,-,12,0.6,20,5.6,0.1
The Gambia                              ,Transport equipment,66.8,0,80,8.4,1.8,20,9.1,0.1
The Gambia                              ,Other Manufactures,-,-,-,14.3,2.1,20,1.5,0.5
Guinea                                  ,Live animals and meat,40,0,40,24.6,0,35,,
Guinea                                  ,Dairy products,28.1,0,40,16.1,0,35,,
Guinea                                  ,Fruits and vegetables,40,0,40,19.8,0,35,,
Guinea                                  ,"Coffee, tea, cocoa and spices",40,0,40,19.2,0,35,,
